Date,Hour,load,zone
1/1/2017,15:00,2798,AZPS
1/1/2017,15:00,22047,CA ISO
1/1/2017,15:00,3447,NEVP
1/1/2017,15:00,5205,PACE
1/1/2017,15:00,2868,PACW
1/1/2017,15:00,10632,PGE
1/1/2017,15:00,3673,PSEI
1/1/2017,15:00,9322,SCE
1/1/2017,15:00,2040,SDGE
1/1/2017,15:00,53,VEA
1/1/2017,16:00,3098,AZPS
1/1/2017,16:00,23001,CA ISO
1/1/2017,16:00,3690,NEVP
1/1/2017,16:00,5567,PACE
1/1/2017,16:00,2986,PACW
1/1/2017,16:00,10858,PGE
1/1/2017,16:00,3843,PSEI
1/1/2017,16:00,9854,SCE
1/1/2017,16:00,2229,SDGE
1/1/2017,16:00,60,VEA
1/1/2017,17:00,3330,AZPS
1/1/2017,17:00,25817,CA ISO
1/1/2017,17:00,4054,NEVP
1/1/2017,17:00,5697,PACE
1/1/2017,17:00,3190,PACW
1/1/2017,17:00,11903,PGE
1/1/2017,17:00,4097,PSEI
1/1/2017,17:00,11245,SCE
1/1/2017,17:00,2599,SDGE
1/1/2017,17:00,70,VEA
1/1/2017,18:00,3299,AZPS
1/1/2017,18:00,26601,CA ISO
1/1/2017,18:00,4082,NEVP
1/1/2017,18:00,5643,PACE
1/1/2017,18:00,3190,PACW
1/1/2017,18:00,12266,PGE
1/1/2017,18:00,4058,PSEI
1/1/2017,18:00,11579,SCE
1/1/2017,18:00,2685,SDGE
1/1/2017,18:00,71,VEA
1/1/2017,19:00,3245,AZPS
1/1/2017,19:00,26431,CA ISO
1/1/2017,19:00,4063,NEVP
1/1/2017,19:00,5552,PACE
1/1/2017,19:00,3122,PACW
1/1/2017,19:00,12128,PGE
1/1/2017,19:00,3981,PSEI
1/1/2017,19:00,11579,SCE
1/1/2017,19:00,2651,SDGE
1/1/2017,19:00,73,VEA
1/1/2017,20:00,3149,AZPS
1/1/2017,20:00,25960,CA ISO
1/1/2017,20:00,4014,NEVP
1/1/2017,20:00,5421,PACE
1/1/2017,20:00,3046,PACW
1/1/2017,20:00,11882,PGE
1/1/2017,20:00,3875,PSEI
1/1/2017,20:00,11433,SCE
1/1/2017,20:00,2572,SDGE
1/1/2017,20:00,73,VEA
1/1/2017,21:00,2994,AZPS
1/1/2017,21:00,25024,CA ISO
1/1/2017,21:00,3926,NEVP
1/1/2017,21:00,5198,PACE
1/1/2017,21:00,2934,PACW
1/1/2017,21:00,11442,PGE
1/1/2017,21:00,3713,PSEI
1/1/2017,21:00,11064,SCE
1/1/2017,21:00,2446,SDGE
1/1/2017,21:00,72,VEA
1/1/2017,22:00,2818,AZPS
1/1/2017,22:00,23674,CA ISO
1/1/2017,22:00,3810,NEVP
1/1/2017,22:00,4944,PACE
1/1/2017,22:00,2761,PACW
1/1/2017,22:00,10861,PGE
1/1/2017,22:00,3464,PSEI
1/1/2017,22:00,10485,SCE
1/1/2017,22:00,2258,SDGE
1/1/2017,22:00,70,VEA
1/1/2017,23:00,2693,AZPS
1/1/2017,23:00,22377,CA ISO
1/1/2017,23:00,3662,NEVP
1/1/2017,23:00,4785,PACE
1/1/2017,23:00,2614,PACW
1/1/2017,23:00,10448,PGE
1/1/2017,23:00,3228,PSEI
1/1/2017,23:00,9805,SCE
1/1/2017,23:00,2056,SDGE
1/1/2017,23:00,68,VEA
1/2/2017,0:00,2604,AZPS
1/2/2017,0:00,21241,CA ISO
1/2/2017,0:00,3540,NEVP
1/2/2017,0:00,4679,PACE
1/2/2017,0:00,2509,PACW
1/2/2017,0:00,9914,PGE
1/2/2017,0:00,3073,PSEI
1/2/2017,0:00,9353,SCE
1/2/2017,0:00,1908,SDGE
1/2/2017,0:00,66,VEA
1/2/2017,1:00,2566,AZPS
1/2/2017,1:00,20401,CA ISO
1/2/2017,1:00,3451,NEVP
1/2/2017,1:00,4639,PACE
1/2/2017,1:00,2462,PACW
1/2/2017,1:00,9530,PGE
1/2/2017,1:00,2994,PSEI
1/2/2017,1:00,8992,SCE
1/2/2017,1:00,1813,SDGE
1/2/2017,1:00,66,VEA
1/2/2017,2:00,2567,AZPS
1/2/2017,2:00,19926,CA ISO
1/2/2017,2:00,3395,NEVP
1/2/2017,2:00,4636,PACE
1/2/2017,2:00,2456,PACW
1/2/2017,2:00,9325,PGE
1/2/2017,2:00,2978,PSEI
1/2/2017,2:00,8744,SCE
1/2/2017,2:00,1790,SDGE
1/2/2017,2:00,67,VEA
1/2/2017,3:00,2625,AZPS
1/2/2017,3:00,19747,CA ISO
1/2/2017,3:00,3373,NEVP
1/2/2017,3:00,4684,PACE
1/2/2017,3:00,2484,PACW
1/2/2017,3:00,9263,PGE
1/2/2017,3:00,3022,PSEI
1/2/2017,3:00,8657,SCE
1/2/2017,3:00,1759,SDGE
1/2/2017,3:00,68,VEA
1/2/2017,4:00,2758,AZPS
1/2/2017,4:00,20006,CA ISO
1/2/2017,4:00,3402,NEVP
1/2/2017,4:00,4808,PACE
1/2/2017,4:00,2583,PACW
1/2/2017,4:00,9390,PGE
1/2/2017,4:00,3138,PSEI
1/2/2017,4:00,8764,SCE
1/2/2017,4:00,1782,SDGE
1/2/2017,4:00,70,VEA
1/2/2017,5:00,2941,AZPS
1/2/2017,5:00,20768,CA ISO
1/2/2017,5:00,3488,NEVP
1/2/2017,5:00,5012,PACE
1/2/2017,5:00,2761,PACW
1/2/2017,5:00,9770,PGE
1/2/2017,5:00,3337,PSEI
1/2/2017,5:00,9088,SCE
1/2/2017,5:00,1836,SDGE
1/2/2017,5:00,74,VEA
1/2/2017,6:00,3077,AZPS
1/2/2017,6:00,21900,CA ISO
1/2/2017,6:00,3579,NEVP
1/2/2017,6:00,5199,PACE
1/2/2017,6:00,2951,PACW
1/2/2017,6:00,10357,PGE
1/2/2017,6:00,3566,PSEI
1/2/2017,6:00,9501,SCE
1/2/2017,6:00,1962,SDGE
1/2/2017,6:00,80,VEA
1/2/2017,7:00,3118,AZPS
1/2/2017,7:00,22673,CA ISO
1/2/2017,7:00,3601,NEVP
1/2/2017,7:00,5304,PACE
1/2/2017,7:00,3131,PACW
1/2/2017,7:00,10843,PGE
1/2/2017,7:00,3783,PSEI
1/2/2017,7:00,9701,SCE
1/2/2017,7:00,2044,SDGE
1/2/2017,7:00,85,VEA
1/2/2017,8:00,3071,AZPS
1/2/2017,8:00,23357,CA ISO
1/2/2017,8:00,3667,NEVP
1/2/2017,8:00,5440,PACE
1/2/2017,8:00,3265,PACW
1/2/2017,8:00,11168,PGE
1/2/2017,8:00,3952,PSEI
1/2/2017,8:00,9983,SCE
1/2/2017,8:00,2120,SDGE
1/2/2017,8:00,86,VEA
1/2/2017,9:00,2961,AZPS
1/2/2017,9:00,23874,CA ISO
1/2/2017,9:00,3735,NEVP
1/2/2017,9:00,5518,PACE
1/2/2017,9:00,3346,PACW
1/2/2017,9:00,11461,PGE
1/2/2017,9:00,4091,PSEI
1/2/2017,9:00,10210,SCE
1/2/2017,9:00,2118,SDGE
1/2/2017,9:00,85,VEA
1/2/2017,10:00,2909,AZPS
1/2/2017,10:00,24318,CA ISO
1/2/2017,10:00,3766,NEVP
1/2/2017,10:00,5538,PACE
1/2/2017,10:00,3360,PACW
1/2/2017,10:00,11539,PGE
1/2/2017,10:00,4135,PSEI
1/2/2017,10:00,10553,SCE
1/2/2017,10:00,2144,SDGE
1/2/2017,10:00,82,VEA
1/2/2017,11:00,2852,AZPS
1/2/2017,11:00,24441,CA ISO
1/2/2017,11:00,3758,NEVP
1/2/2017,11:00,5518,PACE
1/2/2017,11:00,3307,PACW
1/2/2017,11:00,11468,PGE
1/2/2017,11:00,4083,PSEI
1/2/2017,11:00,10679,SCE
1/2/2017,11:00,2218,SDGE
1/2/2017,11:00,76,VEA
1/2/2017,12:00,2827,AZPS
1/2/2017,12:00,24233,CA ISO
1/2/2017,12:00,3730,NEVP
1/2/2017,12:00,5486,PACE
1/2/2017,12:00,3245,PACW
1/2/2017,12:00,11419,PGE
1/2/2017,12:00,4000,PSEI
1/2/2017,12:00,10450,SCE
1/2/2017,12:00,2293,SDGE
1/2/2017,12:00,71,VEA
1/2/2017,13:00,2890,AZPS
1/2/2017,13:00,23940,CA ISO
1/2/2017,13:00,3672,NEVP
1/2/2017,13:00,5489,PACE
1/2/2017,13:00,3212,PACW
1/2/2017,13:00,11473,PGE
1/2/2017,13:00,3932,PSEI
1/2/2017,13:00,10157,SCE
1/2/2017,13:00,2243,SDGE
1/2/2017,13:00,67,VEA
1/2/2017,14:00,2940,AZPS
1/2/2017,14:00,23861,CA ISO
1/2/2017,14:00,3648,NEVP
1/2/2017,14:00,5512,PACE
1/2/2017,14:00,3186,PACW
1/2/2017,14:00,11426,PGE
1/2/2017,14:00,3879,PSEI
1/2/2017,14:00,10194,SCE
1/2/2017,14:00,2177,SDGE
1/2/2017,14:00,64,VEA
1/2/2017,15:00,3055,AZPS
1/2/2017,15:00,23809,CA ISO
1/2/2017,15:00,3712,NEVP
1/2/2017,15:00,5630,PACE
1/2/2017,15:00,3208,PACW
1/2/2017,15:00,11302,PGE
1/2/2017,15:00,3920,PSEI
1/2/2017,15:00,10245,SCE
1/2/2017,15:00,2197,SDGE
1/2/2017,15:00,65,VEA
1/2/2017,16:00,3336,AZPS
1/2/2017,16:00,25106,CA ISO
1/2/2017,16:00,3955,NEVP
1/2/2017,16:00,5973,PACE
1/2/2017,16:00,3353,PACW
1/2/2017,16:00,11840,PGE
1/2/2017,16:00,4172,PSEI
1/2/2017,16:00,10788,SCE
1/2/2017,16:00,2405,SDGE
1/2/2017,16:00,73,VEA
1/2/2017,17:00,3503,AZPS
1/2/2017,17:00,27954,CA ISO
1/2/2017,17:00,4286,NEVP
1/2/2017,17:00,6105,PACE
1/2/2017,17:00,3541,PACW
1/2/2017,17:00,12982,PGE
1/2/2017,17:00,4491,PSEI
1/2/2017,17:00,12111,SCE
1/2/2017,17:00,2780,SDGE
1/2/2017,17:00,81,VEA
1/2/2017,18:00,3486,AZPS
1/2/2017,18:00,28560,CA ISO
1/2/2017,18:00,4313,NEVP
1/2/2017,18:00,6039,PACE
1/2/2017,18:00,3539,PACW
1/2/2017,18:00,13231,PGE
1/2/2017,18:00,4501,PSEI
1/2/2017,18:00,12422,SCE
1/2/2017,18:00,2825,SDGE
1/2/2017,18:00,82,VEA
1/2/2017,19:00,3440,AZPS
1/2/2017,19:00,28220,CA ISO
1/2/2017,19:00,4274,NEVP
1/2/2017,19:00,5932,PACE
1/2/2017,19:00,3478,PACW
1/2/2017,19:00,13007,PGE
1/2/2017,19:00,4439,PSEI
1/2/2017,19:00,12363,SCE
1/2/2017,19:00,2768,SDGE
1/2/2017,19:00,82,VEA
1/2/2017,20:00,3326,AZPS
1/2/2017,20:00,27525,CA ISO
1/2/2017,20:00,4207,NEVP
1/2/2017,20:00,5729,PACE
1/2/2017,20:00,3375,PACW
1/2/2017,20:00,12627,PGE
1/2/2017,20:00,4327,PSEI
1/2/2017,20:00,12144,SCE
1/2/2017,20:00,2673,SDGE
1/2/2017,20:00,81,VEA
1/2/2017,21:00,3136,AZPS
1/2/2017,21:00,26327,CA ISO
1/2/2017,21:00,4064,NEVP
1/2/2017,21:00,5418,PACE
1/2/2017,21:00,3194,PACW
1/2/2017,21:00,12024,PGE
1/2/2017,21:00,4093,PSEI
1/2/2017,21:00,11725,SCE
1/2/2017,21:00,2501,SDGE
1/2/2017,21:00,77,VEA
1/2/2017,22:00,2939,AZPS
1/2/2017,22:00,24616,CA ISO
1/2/2017,22:00,3875,NEVP
1/2/2017,22:00,5100,PACE
1/2/2017,22:00,2959,PACW
1/2/2017,22:00,11311,PGE
1/2/2017,22:00,3761,PSEI
1/2/2017,22:00,10965,SCE
1/2/2017,22:00,2268,SDGE
1/2/2017,22:00,72,VEA
1/2/2017,23:00,2827,AZPS
1/2/2017,23:00,22969,CA ISO
1/2/2017,23:00,3677,NEVP
1/2/2017,23:00,4905,PACE
1/2/2017,23:00,2775,PACW
1/2/2017,23:00,10688,PGE
1/2/2017,23:00,3479,PSEI
1/2/2017,23:00,10167,SCE
1/2/2017,23:00,2045,SDGE
1/2/2017,23:00,69,VEA
1/3/2017,0:00,2776,AZPS
1/3/2017,0:00,21710,CA ISO
1/3/2017,0:00,3548,NEVP
1/3/2017,0:00,4804,PACE
1/3/2017,0:00,2679,PACW
1/3/2017,0:00,10046,PGE
1/3/2017,0:00,3322,PSEI
1/3/2017,0:00,9701,SCE
1/3/2017,0:00,1895,SDGE
1/3/2017,0:00,68,VEA
1/3/2017,1:00,2764,AZPS
1/3/2017,1:00,20844,CA ISO
1/3/2017,1:00,3459,NEVP
1/3/2017,1:00,4771,PACE
1/3/2017,1:00,2650,PACW
1/3/2017,1:00,9654,PGE
1/3/2017,1:00,3270,PSEI
1/3/2017,1:00,9314,SCE
1/3/2017,1:00,1810,SDGE
1/3/2017,1:00,66,VEA
1/3/2017,2:00,2796,AZPS
1/3/2017,2:00,20467,CA ISO
1/3/2017,2:00,3414,NEVP
1/3/2017,2:00,4779,PACE
1/3/2017,2:00,2652,PACW
1/3/2017,2:00,9482,PGE
1/3/2017,2:00,3286,PSEI
1/3/2017,2:00,9151,SCE
1/3/2017,2:00,1767,SDGE
1/3/2017,2:00,67,VEA
1/3/2017,3:00,2905,AZPS
1/3/2017,3:00,20412,CA ISO
1/3/2017,3:00,3404,NEVP
1/3/2017,3:00,4849,PACE
1/3/2017,3:00,2710,PACW
1/3/2017,3:00,9441,PGE
1/3/2017,3:00,3365,PSEI
1/3/2017,3:00,9106,SCE
1/3/2017,3:00,1797,SDGE
1/3/2017,3:00,68,VEA
1/3/2017,4:00,3150,AZPS
1/3/2017,4:00,20919,CA ISO
1/3/2017,4:00,3453,NEVP
1/3/2017,4:00,5079,PACE
1/3/2017,4:00,2834,PACW
1/3/2017,4:00,9686,PGE
1/3/2017,4:00,3555,PSEI
1/3/2017,4:00,9341,SCE
1/3/2017,4:00,1821,SDGE
1/3/2017,4:00,71,VEA
1/3/2017,5:00,3448,AZPS
1/3/2017,5:00,22220,CA ISO
1/3/2017,5:00,3607,NEVP
1/3/2017,5:00,5458,PACE
1/3/2017,5:00,3096,PACW
1/3/2017,5:00,10143,PGE
