Date,load,zone
1/1/18 14:00,3355,NEVP
1/1/18 14:00,4853,PACE
1/1/18 14:00,2574,PACW
1/1/18 14:00,9629,PGE
1/1/18 14:00,2546,PGE-NEW
1/1/18 14:00,3506,PSEI
1/1/18 14:00,9110,SCE
1/1/18 14:00,2014,SDGE
1/1/18 14:00,51,VEA
1/1/18 15:00,2471,AZPS
1/1/18 15:00,21193,CA ISO
1/1/18 15:00,3415,NEVP
1/1/18 15:00,5002,PACE
1/1/18 15:00,2593,PACW
1/1/18 15:00,9626,PGE
1/1/18 15:00,2594,PGE-NEW
1/1/18 15:00,3530,PSEI
1/1/18 15:00,9385,SCE
1/1/18 15:00,2132,SDGE
1/1/18 15:00,50,VEA
1/1/18 16:00,2762,AZPS
1/1/18 16:00,22478,CA ISO
1/1/18 16:00,3639,NEVP
1/1/18 16:00,5444,PACE
1/1/18 16:00,2722,PACW
1/1/18 16:00,10194,PGE
1/1/18 16:00,2775,PGE-NEW
1/1/18 16:00,3776,PSEI
1/1/18 16:00,9941,SCE
1/1/18 16:00,2288,SDGE
1/1/18 16:00,55,VEA
1/1/18 17:00,2999,AZPS
1/1/18 17:00,25443,CA ISO
1/1/18 17:00,3958,NEVP
1/1/18 17:00,5645,PACE
1/1/18 17:00,2900,PACW
1/1/18 17:00,11516,PGE
1/1/18 17:00,3003,PGE-NEW
1/1/18 17:00,4058,PSEI
1/1/18 17:00,11228,SCE
1/1/18 17:00,2635,SDGE
1/1/18 17:00,64,VEA
1/1/18 18:00,2990,AZPS
1/1/18 18:00,26014,CA ISO
1/1/18 18:00,3980,NEVP
1/1/18 18:00,5612,PACE
1/1/18 18:00,2904,PACW
1/1/18 18:00,11857,PGE
1/1/18 18:00,3019,PGE-NEW
1/1/18 18:00,4061,PSEI
1/1/18 18:00,11413,SCE
1/1/18 18:00,2679,SDGE
1/1/18 18:00,65,VEA
1/1/18 19:00,2950,AZPS
1/1/18 19:00,25690,CA ISO
1/1/18 19:00,3960,NEVP
1/1/18 19:00,5553,PACE
1/1/18 19:00,2859,PACW
1/1/18 19:00,11702,PGE
1/1/18 19:00,2979,PGE-NEW
1/1/18 19:00,4001,PSEI
1/1/18 19:00,11297,SCE
1/1/18 19:00,2624,SDGE
1/1/18 19:00,67,VEA
1/1/18 20:00,2868,AZPS
1/1/18 20:00,25076,CA ISO
1/1/18 20:00,3914,NEVP
1/1/18 20:00,5408,PACE
1/1/18 20:00,2771,PACW
1/1/18 20:00,11405,PGE
1/1/18 20:00,2896,PGE-NEW
1/1/18 20:00,3890,PSEI
1/1/18 20:00,11071,SCE
1/1/18 20:00,2533,SDGE
1/1/18 20:00,67,VEA
1/1/18 21:00,2734,AZPS
1/1/18 21:00,24029,CA ISO
1/1/18 21:00,3819,NEVP
1/1/18 21:00,5134,PACE
1/1/18 21:00,2624,PACW
1/1/18 21:00,10936,PGE
1/1/18 21:00,2735,PGE-NEW
1/1/18 21:00,3679,PSEI
1/1/18 21:00,10635,SCE
1/1/18 21:00,2393,SDGE
1/1/18 21:00,65,VEA
1/1/18 22:00,2576,AZPS
