Date,load,zone
1/2/2015 3:00:00 AM,98.00,VEA
1/2/2015 4:00:00 AM,9922.00,PGE
1/2/2015 4:00:00 AM,9600.00,SCE
1/2/2015 4:00:00 AM,1983.00,SDGE
1/2/2015 4:00:00 AM,102.00,VEA
1/2/2015 5:00:00 AM,10423.00,PGE
1/2/2015 5:00:00 AM,10133.00,SCE
1/2/2015 5:00:00 AM,2123.00,SDGE
1/2/2015 5:00:00 AM,108.00,VEA
1/2/2015 6:00:00 AM,11050.00,PGE
1/2/2015 6:00:00 AM,10744.00,SCE
1/2/2015 6:00:00 AM,2323.00,SDGE
1/2/2015 6:00:00 AM,115.00,VEA
1/2/2015 7:00:00 AM,11609.00,PGE
1/2/2015 7:00:00 AM,11062.00,SCE
1/2/2015 7:00:00 AM,2446.00,SDGE
1/2/2015 7:00:00 AM,117.00,VEA
1/2/2015 8:00:00 AM,11829.00,PGE
1/2/2015 8:00:00 AM,11224.00,SCE
1/2/2015 8:00:00 AM,2520.00,SDGE
1/2/2015 8:00:00 AM,107.00,VEA
1/2/2015 9:00:00 AM,11785.00,PGE
1/2/2015 9:00:00 AM,11213.00,SCE
1/2/2015 9:00:00 AM,2503.00,SDGE
1/2/2015 9:00:00 AM,95.00,VEA
1/2/2015 10:00:00 AM,11633.00,PGE
1/2/2015 10:00:00 AM,11161.00,SCE
1/2/2015 10:00:00 AM,2456.00,SDGE
1/2/2015 10:00:00 AM,83.00,VEA
1/2/2015 11:00:00 AM,11369.00,PGE
1/2/2015 11:00:00 AM,10966.00,SCE
1/2/2015 11:00:00 AM,2376.00,SDGE
1/2/2015 11:00:00 AM,74.00,VEA
1/2/2015 12:00:00 PM,11078.00,PGE
1/2/2015 12:00:00 PM,10744.00,SCE
1/2/2015 12:00:00 PM,2348.00,SDGE
1/2/2015 12:00:00 PM,66.00,VEA
1/2/2015 1:00:00 PM,10838.00,PGE
1/2/2015 1:00:00 PM,10573.00,SCE
1/2/2015 1:00:00 PM,2312.00,SDGE
1/2/2015 1:00:00 PM,61.00,VEA
1/2/2015 2:00:00 PM,10798.00,PGE
1/2/2015 2:00:00 PM,10509.00,SCE
1/2/2015 2:00:00 PM,2273.00,SDGE
1/2/2015 2:00:00 PM,57.00,VEA
1/2/2015 3:00:00 PM,10975.00,PGE
1/2/2015 3:00:00 PM,10607.00,SCE
1/2/2015 3:00:00 PM,2310.00,SDGE
