Date,load,zone
1/1/2018 12:00:00 AM,2662.00,AZPS
1/1/2018 12:00:00 AM,21202.00,CA ISO
1/1/2018 12:00:00 AM,3519.00,NEVP
1/1/2018 12:00:00 AM,4769.00,PACE
1/1/2018 12:00:00 AM,2233.00,PACW
1/1/2018 12:00:00 AM,9613.00,PGE
1/1/2018 12:00:00 AM,2208.00,PGE-NEW
1/1/2018 12:00:00 AM,3028.00,PSEI
1/1/2018 12:00:00 AM,9494.00,SCE
1/1/2018 12:00:00 AM,2028.00,SDGE
1/1/2018 12:00:00 AM,67.00,VEA
1/1/2018 1:00:00 AM,2626.00,AZPS
1/1/2018 1:00:00 AM,20559.00,CA ISO
1/1/2018 1:00:00 AM,3451.00,NEVP
1/1/2018 1:00:00 AM,4680.00,PACE
1/1/2018 1:00:00 AM,2188.00,PACW
1/1/2018 1:00:00 AM,9448.00,PGE
1/1/2018 1:00:00 AM,2152.00,PGE-NEW
1/1/2018 1:00:00 AM,2951.00,PSEI
1/1/2018 1:00:00 AM,9115.00,SCE
1/1/2018 1:00:00 AM,1927.00,SDGE
1/1/2018 1:00:00 AM,69.00,VEA
1/1/2018 2:00:00 AM,2638.00,AZPS
1/1/2018 2:00:00 AM,20017.00,CA ISO
1/1/2018 2:00:00 AM,3412.00,NEVP
1/1/2018 2:00:00 AM,4655.00,PACE
1/1/2018 2:00:00 AM,2159.00,PACW
1/1/2018 2:00:00 AM,9279.00,PGE
1/1/2018 2:00:00 AM,2121.00,PGE-NEW
1/1/2018 2:00:00 AM,2905.00,PSEI
1/1/2018 2:00:00 AM,8815.00,SCE
1/1/2018 2:00:00 AM,1852.00,SDGE
1/1/2018 2:00:00 AM,71.00,VEA
1/1/2018 3:00:00 AM,2694.00,AZPS
1/1/2018 3:00:00 AM,19629.00,CA ISO
1/1/2018 3:00:00 AM,3386.00,NEVP
1/1/2018 3:00:00 AM,4671.00,PACE
1/1/2018 3:00:00 AM,2160.00,PACW
1/1/2018 3:00:00 AM,9114.00,PGE
1/1/2018 3:00:00 AM,2122.00,PGE-NEW
1/1/2018 3:00:00 AM,2917.00,PSEI
1/1/2018 3:00:00 AM,8629.00,SCE
1/1/2018 3:00:00 AM,1813.00,SDGE
1/1/2018 3:00:00 AM,73.00,VEA
1/1/2018 4:00:00 AM,2797.00,AZPS
1/1/2018 4:00:00 AM,19613.00,CA ISO
1/1/2018 4:00:00 AM,3398.00,NEVP
1/1/2018 4:00:00 AM,4723.00,PACE
1/1/2018 4:00:00 AM,2207.00,PACW
1/1/2018 4:00:00 AM,9117.00,PGE
1/1/2018 4:00:00 AM,2168.00,PGE-NEW
1/1/2018 4:00:00 AM,2997.00,PSEI
1/1/2018 4:00:00 AM,8602.00,SCE
1/1/2018 4:00:00 AM,1817.00,SDGE
1/1/2018 4:00:00 AM,77.00,VEA
1/1/2018 5:00:00 AM,2921.00,AZPS
1/1/2018 5:00:00 AM,20005.00,CA ISO
1/1/2018 5:00:00 AM,3448.00,NEVP
1/1/2018 5:00:00 AM,4828.00,PACE
1/1/2018 5:00:00 AM,2302.00,PACW
1/1/2018 5:00:00 AM,9299.00,PGE
1/1/2018 5:00:00 AM,2264.00,PGE-NEW
1/1/2018 5:00:00 AM,3150.00,PSEI
1/1/2018 5:00:00 AM,8756.00,SCE
1/1/2018 5:00:00 AM,1867.00,SDGE
