Category,v 2019  ,Plant ID,Plant Name,Unit,Status,Start Date,Retire Date,Prime mover ID,Prime Mover,Capacity,net MWh,Primary,Primary,Secondary,Secondary
,,,,,,,,,Description,,,Fuel Use MMBTU,Energy Source,Fuel Use MMBTU,Energy Source
S,2019,S0525,Algonquin Power SKIC 20 Solar LLC,PV,OP,5/15/2015,,PV,Photovoltaic,20,47962,0,SUN,0,UNK
S,2019,S0324,Alhambra Solar Facility,SGAH,OP,11/26/2014,,PV,Photovoltaic,50,130037,0,SUN,0,UNK
G,2019,G0842,Alliance Century,Unit 1,OP,9/1/2001,,GT,Combustion (gas) Turbine,11.39,146.09,2270.07,NG,0,UNK
G,2019,G0842,Alliance Century,Unit 2,OP,9/1/2001,,GT,Combustion (gas) Turbine,11.39,125.1,1849.07,NG,0,UNK
G,2019,G0842,Alliance Century,Unit 3,OP,9/1/2001,,GT,Combustion (gas) Turbine,11.39,117.1,1734.07,NG,0,UNK
G,2019,G0842,Alliance Century,Unit 4,OP,9/1/2001,,GT,Combustion (gas) Turbine,11.39,107.1,1678.08,NG,0,UNK
G,2019,G0821,Alliance Drews (Agua Mansa Colton),D1,OP,8/1/2001,,GT,Combustion (gas) Turbine,11.39,178.08,2606.06,NG,0,UNK
G,2019,G0821,Alliance Drews (Agua Mansa Colton),D2,OP,8/1/2001,,GT,Combustion (gas) Turbine,11.39,54.11,831.08,NG,0,UNK
G,2019,G0821,Alliance Drews (Agua Mansa Colton),D3,OP,8/1/2001,,GT,Combustion (gas) Turbine,11.39,154.09,2811.06,NG,0,UNK
G,2019,G0821,Alliance Drews (Agua Mansa Colton),D4,OP,8/1/2001,,GT,Combustion (gas) Turbine,11.39,0.12,0.09,NG,0,UNK
G,2019,G0016,Almond Power Plant,Unit 1,OP,10/1/1995,,GT,Combustion (gas) Turbine,49,71338,776369,NG,0,UNK
G,2019,G0016,Almond Power Plant,Unit 2-1,OP,7/15/2012,,GT,Combustion (gas) Turbine,58,28830,326691,NG,0,UNK
G,2019,G0016,Almond Power Plant,Unit 2-2,OP,7/15/2012,,GT,Combustion (gas) Turbine,58,83869,898884,NG,0,UNK
G,2019,G0016,Almond Power Plant,Unit 2-3,OP,7/15/2012,,GT,Combustion (gas) Turbine,58,98307,1056580,NG,0,UNK
S,2019,S9046,Almond Process Parreira,1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
S,2019,S0246,Alpaugh 50 LLC,1,OP,3/1/2013,,PV,Photovoltaic,50,108385,0,SUN,0,UNK
S,2019,S0247,Alpaugh North LLC,1,OP,2/20/2013,,PV,Photovoltaic,20,45193,0,SUN,0,UNK
S,2019,S0237,Alpine Solar,1,OP,1/18/2013,,PV,Photovoltaic,66,154939,0,SUN,0,UNK
H,2019,H0005,Alta,1,OP,11/1/1902,,HY,Hydraulic Turbine (conventional),1,3395,0,WAT,0,UNK
W,2019,W0370,Alta I Wind Energy Center,WPRS 1,OP,1/6/2011,,WT,Wind Turbine,150,366369,0,WND,0,N/A
W,2019,W0372,Alta II Wind Energy Center,WPRS 1,OP,1/1/2011,,WT,Wind Turbine,150,301923,0,WND,0,N/A
W,2019,W0387,Alta III Wind Energy Center,WPRS 1,OP,2/14/2011,,WT,Wind Turbine,150,316458,0,WND,0,N/A
W,2019,W0388,Alta IV Wind Energy Center,WPRS 1,OP,3/15/2011,,WT,Wind Turbine,102,152311,0,WND,0,N/A
W,2019,W0389,Alta V Wind Energy Center,WPRS 1,OP,4/22/2011,,WT,Wind Turbine,168,253993,0,WND,0,N/A
W,2019,W0393,"Alta Wind VIII, LLC",WPRS 1,OP,1/31/2012,,WT,Wind Turbine,150,237116,0,WND,0,N/A
W,2019,W0441,Alta X Wind Energy Center,WPRS 1,OP,12/31/1989,,WT,Wind Turbine,136.8,366791,0,WND,0,N/A
W,2019,W0442,Alta XI Wind Energy Center,WPRS 1,OP,12/31/1989,,WT,Wind Turbine,89.65,266379,0,WND,0,N/A
G,2019,G0562,AltaGas Pomona Energy Inc (cogen prior to 2016) (retired 9/6/2019),1,RE,1/2/1985,9/6/2019,GT,Combustion (gas) Turbine,46.3,0.09,0.09,NG,0,UNK
B,2019,B0007,AltaGas Pomona Energy Storage,Unit 1,OP,12/31/2016,,OT,Other (Explain in Notes),20,-2642,0,BAT,0,N/A
E,2019,E0106,Altamont Gas Recovery,1,OP,3/1/1989,,GT,Combustion (gas) Turbine,3.2,18715.5,362654,LFG,0,UNK
E,2019,E0106,Altamont Gas Recovery,2,OP,3/1/1989,,GT,Combustion (gas) Turbine,3.2,18715.5,362654,LFG,0,UNK
W,2019,W0292,Altech III (NAWP Inc. - 6087),WPRS 1,OP,12/18/1985,,WT,Wind Turbine,11.17,5796.8,0,WND,0,N/A
S,2019,S9006,Alza Corporation (700 Eubanks),1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
E,2019,E0248,Ameresco Butte County Neal Road Landfill,Unit 1,OP,11/23/2012,,IC,"Internal Combustion Engine (diesel, piston)",2.16,2560,32735,LFG,0,UNK
E,2019,E0250,Ameresco Chiquita Energy,Unit 1,OP,11/23/2010,,GT,Combustion (gas) Turbine,4.6,21623,310899,LFG,0,UNK
E,2019,E0250,Ameresco Chiquita Energy,Unit 2,OP,11/23/2010,,GT,Combustion (gas) Turbine,4.6,21593,298182,LFG,0,UNK
